  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:29:19	  -6.000	  126.51	 1029.90	   21.58	  850.11	   1.217	 -158.46	  202.61	  247.62	  187.11	   89.16	   53.73	   27.08	    0.29	   -7.65	   -5.35	  -22.90	  -34.52	  -36.19	  -32.68	  -27.49	  -23.31	  -27.67	  -21.81	  -15.52	   -1.20	    2.61	    0.44	    4.02	    4.56	    7.40	 -155.15	 -566.11	 -571.85	 -479.08	 -228.01	 -186.66	 -161.68	 -130.99	 -110.64	 -104.45	  -93.24	  -86.09	  -75.70	  -67.27	  -59.62	  -53.16	  -44.94	  -38.16	  -28.48	  -21.22	  -11.06	   -4.34	    5.00	    7.40	  298.15	  298.80	  300.88	  269.47	  265.82	  298.22	  303.28	  307.83	  266.90	  296.18	  295.82	  268.23	  265.81	  300.08	  292.37	  304.44	  272.97	  270.28	  270.32	  269.20	  263.89	  247.28	  228.90	  208.05	  194.90	  208.63	  233.75	  258.48	  266.48	  274.29	  277.59	  266.05	  268.83	  270.19	  269.74	  272.49	  274.98	  271.14	  268.97	  268.64	  270.19	  269.32	  272.23	  274.03	  272.03	  271.36	  272.14	  266.68	   10.25	   10.91	   10.92	   10.18	   10.97	   12.77	   13.63	   11.95	   11.09	   11.89	   11.52	   10.73	    1.14	   -1.42	   -2.05	   -1.34
       2	 12:29:56	  -5.000	  126.93	 1029.89	   21.77	  849.96	   1.217	  -83.15	  212.37	  236.24	  162.74	   65.73	   31.35	    7.39	  -19.45	  -23.48	  -20.39	  -36.38	  -47.97	  -47.85	  -42.90	  -36.97	  -32.10	  -35.79	  -28.57	  -21.94	   -8.01	   -4.77	   -7.25	   -4.60	   -3.88	   12.22	  -78.51	 -502.42	 -475.84	 -402.46	 -186.18	 -163.71	 -139.21	 -113.86	  -95.32	  -90.86	  -81.11	  -75.08	  -65.80	  -58.27	  -51.52	  -45.85	  -38.11	  -31.63	  -22.38	  -15.24	   -5.17	    1.80	   11.55	   12.22	  297.89	  298.38	  300.61	  269.11	  265.49	  297.91	  302.77	  307.36	  266.40	  295.69	  295.29	  267.86	  265.46	  299.75	  291.93	  304.04	  272.56	  269.88	  270.04	  268.18	  260.47	  242.06	  225.07	  214.15	  216.36	  242.89	  262.30	  272.86	  270.15	  274.45	  277.26	  265.64	  269.16	  269.54	  269.99	  272.68	  275.46	  271.43	  269.28	  268.80	  270.33	  269.69	  272.34	  274.27	  272.14	  271.70	  272.30	  266.84	    9.93	   11.65	   11.60	   10.72	   11.34	   13.20	   13.66	   12.12	   11.07	   11.75	   11.31	   11.63	    1.02	   -1.41	   -2.04	   -1.34
       3	 12:30:33	  -4.000	  126.80	 1029.87	   21.87	  850.01	   1.216	   -6.92	  211.54	  215.57	  135.27	   38.83	    8.31	   -8.90	  -39.89	  -40.88	  -37.18	  -49.16	  -58.97	  -58.57	  -53.76	  -47.20	  -40.06	  -45.29	  -35.66	  -28.96	  -15.36	  -13.57	  -15.76	  -13.42	  -13.63	   16.46	   -1.74	 -482.53	 -335.16	 -237.91	 -183.81	 -153.23	 -122.89	  -95.15	  -76.84	  -74.39	  -67.20	  -63.47	  -55.59	  -49.47	  -43.75	  -39.07	  -32.10	  -26.37	  -17.62	  -10.77	   -0.89	    6.18	   16.10	   16.46	  296.90	  297.73	  299.57	  268.26	  264.69	  296.94	  302.03	  306.63	  265.47	  294.79	  294.60	  267.00	  264.65	  298.87	  290.99	  303.21	  271.94	  269.18	  269.22	  268.71	  267.38	  257.90	  244.76	  228.40	  222.40	  241.76	  259.74	  270.80	  268.93	  273.48	  276.28	  264.68	  269.46	  269.10	  270.32	  273.07	  275.54	  271.68	  269.62	  269.24	  270.65	  270.05	  272.83	  274.80	  272.32	  271.92	  272.63	  267.08	    9.25	   11.77	   11.68	   10.66	   11.18	   12.48	   13.87	   11.72	   10.55	   11.15	   10.65	   11.93	    0.68	   -1.41	   -2.04	   -1.32
       4	 12:30:58	  -3.000	  127.42	 1029.87	   21.94	  850.26	   1.216	   81.75	  215.22	  193.70	  108.28	   16.63	  -13.28	  -27.04	  -54.87	  -54.42	  -48.95	  -62.16	  -69.11	  -67.00	  -60.70	  -51.79	  -45.18	  -48.90	  -39.03	  -33.14	  -20.07	  -19.47	  -22.22	  -21.16	   -1.70	   16.56	   84.34	 -329.96	 -259.69	 -187.57	 -145.77	 -123.18	 -105.32	  -84.69	  -69.87	  -68.81	  -61.96	  -58.53	  -51.63	  -46.43	  -42.07	  -37.95	  -31.28	  -24.97	  -15.15	   -7.06	    3.60	   10.57	   20.05	   16.56	  298.01	  298.70	  300.73	  269.16	  265.78	  298.14	  303.04	  307.73	  266.60	  295.90	  295.68	  268.03	  265.83	  299.98	  292.14	  304.32	  272.91	  270.25	  270.35	  269.23	  263.81	  249.57	  239.25	  236.81	  242.38	  259.13	  269.94	  275.29	  270.69	  274.75	  277.51	  265.92	  269.98	  270.12	  270.79	  273.88	  276.14	  272.34	  270.18	  269.86	  271.08	  270.47	  273.21	  275.09	  272.79	  272.45	  273.21	  267.55	    9.28	   12.42	   12.33	   11.26	   11.80	   14.22	   14.76	   12.37	   10.67	   11.26	   10.76	   12.68	    0.72	   -1.38	   -2.04	   -1.50
       5	 12:31:37	  -2.000	  127.53	 1029.87	   22.03	  850.04	   1.215	  163.16	  206.52	  162.13	   74.80	   -8.92	  -35.37	  -47.66	  -71.61	  -69.69	  -62.17	  -73.17	  -78.23	  -75.48	  -68.00	  -57.90	  -50.59	  -54.15	  -44.54	  -40.30	  -27.64	  -28.79	  -32.26	  -27.16	   20.95	   16.25	  163.08	 -193.20	 -185.66	 -142.90	 -116.50	 -100.97	  -88.20	  -69.82	  -57.09	  -57.78	  -52.07	  -49.67	  -43.46	  -38.78	  -34.78	  -31.38	  -26.28	  -22.79	  -17.11	  -14.22	   -8.90	   -4.12	   12.53	   16.25	  296.59	  297.24	  299.37	  267.96	  264.94	  296.67	  301.70	  306.32	  265.41	  294.61	  294.37	  266.77	  264.20	  298.38	  290.69	  303.07	  271.48	  268.62	  268.66	  267.17	  263.15	  251.82	  243.10	  240.33	  241.78	  256.36	  267.28	  273.27	  269.38	  273.24	  276.06	  264.50	  268.75	  269.61	  269.58	  273.00	  274.92	  271.04	  269.02	  268.60	  270.04	  269.45	  272.06	  273.97	  271.57	  271.33	  271.99	  266.41	    8.91	   12.35	   12.25	   11.05	   11.40	   13.84	   13.99	   11.79	   10.41	   10.86	   10.38	   12.66	    0.38	   -1.46	   -2.01	   -1.38
       6	 12:32:12	  -1.000	  127.51	 1029.86	   22.10	  849.48	   1.215	  222.06	  187.00	  124.38	   38.57	  -37.78	  -62.16	  -68.58	  -89.37	  -87.02	  -76.33	  -86.18	  -91.46	  -85.14	  -77.47	  -64.87	  -56.57	  -60.46	  -52.41	  -48.46	  -37.50	  -38.24	  -44.00	    2.64	   29.90	   18.73	  224.69	  -65.37	 -113.67	  -97.13	  -86.42	  -78.32	  -70.01	  -53.74	  -43.09	  -45.42	  -41.20	  -39.80	  -34.67	  -30.86	  -27.53	  -24.65	  -19.90	  -16.44	  -10.52	   -7.38	   -2.35	   -1.43	    2.10	   18.73	  296.85	  297.34	  299.71	  268.04	  265.16	  296.99	  301.76	  306.55	  265.56	  294.85	  294.54	  266.99	  264.49	  298.75	  290.88	  303.22	  271.84	  268.85	  268.95	  267.21	  263.54	  252.45	  244.30	  241.67	  242.37	  255.40	  265.99	  272.81	  269.23	  273.51	  276.33	  264.70	  268.89	  269.20	  269.81	  273.14	  275.07	  271.13	  269.13	  268.77	  270.11	  269.38	  272.30	  274.23	  272.03	  271.41	  272.18	  266.51	    8.27	   12.23	   12.12	   10.85	   10.98	   13.81	   13.48	   11.52	    9.90	   10.32	    9.80	   12.66	   -0.08	   -1.44	   -2.03	   -1.38
       7	 12:32:42	  -0.000	  128.50	 1029.86	   22.15	  850.37	   1.215	  254.97	  151.35	   79.11	   -1.46	  -70.37	  -88.14	  -90.95	 -108.67	 -103.10	  -90.74	  -99.68	 -102.93	  -96.49	  -85.54	  -72.71	  -64.81	  -67.95	  -61.95	  -58.55	  -48.35	  -49.47	  -20.90	   16.03	   28.54	   24.29	  255.48	   42.95	  -44.84	  -54.90	  -56.97	  -55.84	  -51.24	  -37.95	  -29.39	  -33.21	  -30.49	  -30.23	  -26.03	  -23.14	  -20.51	  -18.33	  -14.02	  -10.86	   -5.00	   -1.60	    3.97	    5.40	    8.56	   24.29	  298.37	  298.77	  301.33	  269.73	  266.64	  298.44	  303.56	  308.01	  266.96	  296.28	  295.96	  268.45	  265.94	  300.24	  292.37	  304.70	  273.23	  270.67	  270.60	  268.88	  265.84	  258.65	  251.69	  243.90	  240.17	  253.04	  263.50	  271.03	  269.53	  274.90	  277.92	  266.24	  270.57	  271.08	  271.45	  274.84	  276.60	  272.88	  270.76	  270.39	  271.82	  271.01	  273.82	  275.89	  273.57	  273.21	  273.82	  268.17	    8.30	   12.78	   12.66	   11.32	   11.48	   13.03	   13.24	   11.56	   10.04	   10.39	    9.88	   13.30	   -0.08	   -1.46	   -2.03	   -1.34
       8	 12:33:13	   1.000	  127.34	 1029.83	   22.20	  850.26	   1.215	  259.11	   99.26	   16.14	  -53.28	 -110.83	 -120.06	 -117.10	 -132.86	 -123.93	 -109.05	 -115.20	 -117.76	 -108.96	  -97.70	  -84.38	  -77.52	  -80.11	  -75.26	  -72.13	  -62.54	  -61.75	   -9.27	   11.33	   18.79	   17.33	  258.96	  142.80	   26.60	   -6.23	  -21.28	  -27.66	  -27.70	  -17.97	  -11.56	  -17.27	  -15.79	  -16.66	  -13.70	  -11.51	   -9.47	   -7.94	   -4.10	   -1.22	    4.73	    8.36	   14.13	   15.69	   18.79	   17.33	  296.45	  296.80	  299.28	  267.80	  264.86	  296.70	  301.37	  306.17	  265.28	  294.44	  294.19	  266.50	  264.10	  298.26	  290.56	  302.83	  271.37	  268.55	  268.75	  268.43	  268.80	  265.98	  255.87	  239.79	  229.01	  241.67	  257.27	  269.37	  268.25	  273.00	  275.88	  264.27	  268.73	  268.74	  269.59	  273.05	  274.69	  270.99	  269.00	  268.63	  270.14	  269.32	  272.14	  274.01	  271.81	  271.25	  272.11	  266.68	    7.47	   13.05	   12.87	   11.35	   11.35	   13.48	   14.54	   11.21	    9.49	    9.68	    9.16	   13.72	   -0.28	   -1.46	   -2.01	   -1.34
       9	 12:33:35	   2.000	  124.81	 1029.83	   22.24	  849.92	   1.215	  243.56	   41.25	  -36.86	  -95.82	 -142.02	 -144.74	 -136.96	 -148.67	 -137.28	 -120.44	 -123.18	 -125.87	 -114.80	 -103.29	  -90.16	  -83.62	  -87.48	  -83.22	  -80.69	  -73.40	  -24.19	   -1.08	    8.84	   17.35	   23.43	  245.37	  201.55	   79.70	   30.66	    5.39	   -5.26	   -8.76	   -1.96	    2.63	   -4.60	   -4.47	   -6.45	   -4.41	   -3.24	   -2.16	   -1.55	    1.35	    3.37	    8.57	   11.71	   17.58	   19.90	   23.90	   23.43	  293.46	  293.87	  295.79	  265.57	  261.90	  293.57	  298.42	  303.20	  262.05	  291.39	  291.14	  263.56	  260.94	  294.83	  287.38	  299.86	  268.06	  265.22	  265.62	  265.22	  263.60	  250.48	  236.17	  231.07	  234.02	  252.14	  264.74	  270.53	  266.06	  269.87	  272.75	  261.07	  266.78	  267.20	  267.73	  271.24	  272.71	  269.14	  267.16	  266.74	  268.36	  267.51	  270.25	  272.15	  270.00	  269.27	  270.18	  264.69	    7.99	   14.34	   14.09	   12.48	   12.39	   14.69	   15.51	   12.20	   10.16	   10.30	    9.81	   15.13	    0.58	   -1.46	   -2.03	   -1.46
      10	 12:34:10	   3.000	  126.28	 1029.81	   22.30	  850.17	   1.214	  194.84	  -28.02	 -103.28	 -148.10	 -179.09	 -177.04	 -165.15	 -170.23	 -156.52	 -139.69	 -136.84	 -139.26	 -125.84	 -113.72	 -100.95	  -94.87	 -100.45	  -97.46	  -96.37	  -45.14	  -11.64	   -6.51	    4.23	   15.55	   26.79	  197.48	  242.82	  126.36	   64.32	   30.16	   13.70	    6.75	   12.01	   14.85	    6.21	    5.07	    1.95	    3.24	    3.42	    3.54	    3.39	    5.45	    6.71	   11.16	   13.67	   19.19	   21.57	   26.27	   26.79	  296.87	  297.22	  299.55	  268.97	  265.16	  296.89	  301.88	  306.55	  265.35	  294.71	  294.44	  266.99	  264.38	  298.57	  290.86	  303.15	  271.71	  268.86	  269.11	  268.65	  267.00	  253.08	  237.81	  232.79	  237.37	  256.68	  268.95	  274.39	  269.54	  273.48	  276.90	  264.58	  268.14	  268.44	  268.96	  272.46	  273.97	  270.43	  268.40	  267.97	  269.64	  268.58	  271.60	  273.30	  271.18	  270.73	  271.39	  265.80	    7.12	   14.01	   13.75	   12.07	   11.79	   14.01	   14.82	   11.37	    9.42	    9.40	    8.90	   14.97	   -0.11	   -1.46	   -2.01	   -1.35
      11	 12:34:39	   4.000	  125.27	 1029.82	   22.35	  850.25	   1.214	   93.69	 -107.92	 -173.63	 -197.82	 -215.56	 -203.63	 -187.12	 -187.47	 -172.03	 -152.67	 -148.21	 -149.72	 -134.75	 -123.02	 -111.20	 -106.54	 -112.62	 -111.30	  -70.68	  -26.20	  -17.56	  -11.49	    1.09	   14.02	   27.45	   95.87	  256.55	  163.48	   95.01	   54.30	   33.71	   23.44	   26.78	   28.04	   18.00	   15.61	   11.53	   11.95	   11.19	   10.52	    9.61	   10.88	   11.38	   15.13	   16.97	   21.83	   23.79	   28.53	   27.45	  294.09	  294.39	  296.31	  265.98	  262.47	  294.02	  298.86	  303.71	  262.77	  292.00	  291.83	  264.40	  261.58	  295.43	  288.07	  300.42	  268.71	  265.86	  266.30	  266.06	  265.68	  254.50	  237.99	  228.19	  230.52	  251.13	  265.30	  271.31	  266.73	  270.52	  273.93	  261.73	  266.49	  266.93	  267.39	  270.86	  272.21	  268.65	  266.79	  266.42	  267.96	  267.07	  269.92	  271.80	  269.51	  268.99	  269.76	  264.10	    6.73	   14.27	   13.99	   12.17	   11.81	   13.90	   14.93	   11.24	    9.18	    9.10	    8.58	   15.33	    0.01	   -1.45	   -2.04	   -1.36
      12	 12:35:08	   5.000	  126.94	 1029.81	   22.38	  849.52	   1.214	  -51.68	 -200.93	 -255.71	 -257.22	 -257.75	 -235.53	 -214.92	 -209.95	 -194.35	 -170.51	 -166.11	 -162.15	 -149.25	 -138.84	 -128.14	 -122.56	 -129.01	  -84.39	  -54.88	  -35.09	  -26.58	  -16.43	   -1.12	   12.81	   28.01	  -46.43	  259.32	  199.35	  125.31	   79.08	   52.99	   40.45	   41.78	   41.45	   30.00	   26.42	   21.29	   20.78	   19.30	   17.77	   16.22	   16.79	   16.61	   19.75	   20.99	   25.39	   26.83	   31.40	   28.01	  297.13	  297.41	  299.67	  269.09	  265.30	  297.12	  302.08	  306.78	  265.58	  294.81	  294.62	  267.26	  264.69	  298.64	  291.02	  303.37	  271.82	  269.05	  269.29	  268.99	  269.63	  268.32	  257.43	  235.79	  224.22	  240.60	  259.86	  272.08	  269.36	  273.59	  277.18	  264.84	  269.79	  269.70	  270.59	  273.98	  275.50	  272.10	  270.01	  269.53	  271.12	  270.15	  273.04	  274.67	  272.80	  272.38	  273.00	  267.41	    6.48	   14.83	   14.56	   12.72	   12.29	   14.21	   15.92	   11.74	    9.13	    9.07	    8.63	   15.98	    0.97	   -1.38	   -2.06	   -1.51
      13	 12:35:51	   6.000	  126.15	 1029.80	   22.45	  850.12	   1.214	 -242.07	 -303.31	 -343.10	 -314.68	 -300.08	 -266.73	 -238.80	 -231.88	 -212.31	 -186.42	 -181.71	 -174.38	 -163.42	 -151.76	 -142.91	 -121.81	  -94.10	  -76.96	  -64.93	  -43.67	  -31.51	  -19.65	   -3.68	   11.16	   26.69	 -238.36	  248.56	  223.65	  151.02	  100.46	   72.22	   55.67	   55.99	   54.21	   41.60	   36.85	   30.91	   29.31	   27.17	   25.00	   22.71	   22.55	   21.75	   24.20	   24.80	   28.64	   29.47	   33.65	   26.69	  295.85	  296.23	  298.33	  267.98	  264.13	  295.88	  300.75	  305.57	  264.53	  293.81	  293.63	  266.04	  263.24	  297.41	  289.88	  302.26	  270.61	  267.80	  268.16	  267.89	  268.38	  264.95	  250.42	  228.00	  220.11	  242.19	  262.77	  272.67	  268.53	  272.27	  275.93	  263.56	  267.18	  267.63	  267.43	  270.91	  272.37	  268.65	  266.84	  266.32	  267.91	  267.07	  270.13	  271.82	  269.69	  268.99	  269.73	  264.16	    6.10	   14.93	   14.66	   12.64	   12.08	   14.00	   15.35	   11.22	    8.90	    8.59	    8.14	   16.25	    0.27	   -1.46	   -2.01	   -1.38
      14	 12:36:20	   7.000	  126.21	 1029.80	   22.47	  850.29	   1.214	 -464.86	 -408.15	 -433.03	 -373.90	 -339.16	 -297.83	 -266.29	 -254.31	 -231.86	 -203.62	 -198.81	 -191.22	 -172.89	 -145.01	 -124.94	 -109.20	 -102.86	  -87.03	  -71.79	  -48.64	  -35.07	  -22.18	   -5.92	    9.22	   23.92	 -463.26	  218.51	  238.22	  173.24	  119.59	   88.22	   70.36	   68.55	   65.49	   51.77	   46.07	   39.25	   36.90	   33.96	   31.15	   28.11	   27.40	   25.96	   27.71	   27.58	   30.84	   31.08	   34.66	   23.92	  294.04	  294.30	  296.37	  266.08	  262.45	  294.04	  298.89	  303.63	  262.71	  291.80	  291.77	  264.19	  261.35	  295.39	  288.02	  300.44	  268.71	  265.85	  266.34	  265.96	  266.69	  264.49	  252.78	  227.06	  211.19	  231.38	  256.96	  270.34	  266.57	  270.43	  273.97	  261.66	  266.72	  266.92	  266.75	  270.19	  271.63	  268.08	  266.19	  265.77	  267.34	  266.27	  269.35	  271.27	  268.93	  268.27	  269.10	  263.62	    5.46	   14.93	   14.66	   12.56	   12.01	   13.83	   15.51	   11.11	    8.46	    8.03	    7.61	   16.35	   -0.43	   -1.44	   -2.02	   -1.51
      15	 12:37:02	   8.000	  127.86	 1029.78	   22.54	  850.00	   1.213	 -722.14	 -525.22	 -531.39	 -436.79	 -383.63	 -332.55	 -297.01	 -282.70	 -254.02	 -213.36	 -199.72	 -186.72	 -170.44	 -153.11	 -136.42	 -118.64	 -109.81	  -92.00	  -74.77	  -50.95	  -36.56	  -23.46	   -6.93	    7.41	   21.50	 -719.86	  177.59	  249.68	  194.37	  138.32	  104.40	   85.79	   81.92	   77.70	   62.71	   56.01	   48.39	   45.32	   41.46	   37.97	   34.21	   32.78	   30.69	   31.84	   31.16	   33.71	   33.41	   36.34	   21.50	  296.64	  296.88	  299.22	  268.65	  264.86	  296.73	  301.65	  306.27	  265.35	  294.45	  294.30	  266.73	  264.20	  298.15	  290.73	  303.09	  271.33	  268.62	  268.91	  268.66	  269.16	  268.00	  258.69	  232.59	  208.87	  219.84	  246.60	  267.95	  268.57	  273.20	  276.78	  264.43	  270.11	  269.78	  270.30	  273.71	  275.70	  271.60	  269.66	  269.15	  270.77	  269.74	  272.66	  274.34	  272.24	  271.95	  272.66	  266.81	    5.52	   15.62	   15.31	   13.14	   12.46	   13.83	   15.67	   11.31	    8.70	    8.11	    7.74	   17.06	   -0.24	   -1.44	   -1.98	   -1.42
      16	 12:37:35	   9.000	  125.74	 1029.79	   22.57	  849.75	   1.213	 -981.31	 -622.08	 -626.93	 -495.18	 -429.13	 -373.04	 -307.69	 -280.77	 -250.18	 -219.51	 -209.54	 -198.45	 -178.97	 -158.79	 -140.24	 -120.67	 -111.03	  -92.83	  -74.05	  -50.57	  -35.89	  -23.52	   -7.70	    5.48	   17.71	 -981.36	  120.22	  251.52	  209.59	  154.42	  119.19	   97.93	   93.79	   88.47	   72.68	   65.04	   56.62	   52.90	   48.34	   44.31	   39.83	   37.74	   34.99	   35.55	   34.16	   36.09	   35.14	   37.25	   17.71	  295.69	  296.04	  298.24	  267.78	  264.08	  295.86	  300.74	  305.41	  264.41	  293.56	  293.42	  265.88	  263.42	  297.10	  289.79	  302.21	  270.35	  267.78	  268.08	  267.71	  268.05	  263.97	  251.79	  224.83	  203.12	  214.66	  240.83	  263.91	  267.01	  272.31	  275.93	  263.58	  269.84	  268.20	  270.07	  273.40	  275.70	  271.43	  269.39	  268.89	  270.55	  269.52	  272.43	  273.83	  272.13	  271.66	  272.42	  266.60	    5.95	   16.54	   16.17	   13.96	   13.14	   14.08	   15.97	   11.82	    9.29	    8.62	    8.23	   18.06	    0.19	   -1.45	   -2.02	   -1.36
      17	 12:38:03	  10.000	  126.38	 1029.78	   22.60	  850.10	   1.213	-1145.78	 -645.92	 -737.61	 -670.36	 -422.88	 -368.81	 -321.15	 -297.70	 -263.91	 -228.54	 -214.64	 -202.27	 -179.67	 -157.59	 -137.94	 -117.29	 -106.92	  -88.05	  -69.60	  -46.87	  -33.81	  -24.22	  -12.17	   -3.02	    4.57	-1144.40	   72.19	  250.42	  219.32	  165.31	  129.46	  106.76	  101.93	   95.74	   79.15	   70.80	   61.58	   56.96	   51.85	   47.10	   42.02	   39.24	   35.68	   35.47	   33.33	   34.31	   32.28	   33.47	    4.57	  294.91	  295.27	  297.17	  266.91	  263.22	  295.03	  299.85	  304.61	  263.64	  292.96	  292.65	  264.90	  262.41	  296.30	  289.05	  301.42	  269.70	  267.06	  267.23	  266.26	  260.79	  244.32	  225.74	  206.39	  199.86	  220.99	  245.43	  264.18	  265.54	  271.41	  275.03	  262.67	  267.78	  268.05	  268.03	  271.49	  273.56	  269.68	  267.48	  266.96	  268.34	  267.55	  270.45	  271.76	  270.30	  269.56	  270.35	  264.44	    4.62	   15.70	   15.38	   13.19	   12.40	   12.44	   14.40	   11.14	    8.16	    7.58	    7.18	   17.20	   -0.75	   -1.42	   -2.03	   -1.60
      18	 12:38:27	  11.000	  126.67	 1029.78	   22.63	  849.93	   1.213	-1288.90	 -760.22	 -909.58	 -495.34	 -460.76	 -389.44	 -334.51	 -306.53	 -270.55	 -233.26	 -216.67	 -201.26	 -177.67	 -153.01	 -131.59	 -111.12	 -100.20	  -81.29	  -64.07	  -42.80	  -32.60	  -26.19	  -17.72	  -11.92	   -7.94	-1286.95	   18.21	  248.59	  228.91	  178.25	  139.75	  116.75	  110.75	  103.71	   86.29	   77.10	   67.27	   62.00	   56.08	   50.65	   44.94	   41.42	   37.13	   36.15	   33.17	   33.33	   30.37	   30.56	   -7.94	  295.67	  296.07	  297.86	  267.62	  264.00	  295.69	  300.44	  305.35	  264.39	  293.63	  293.39	  265.72	  263.19	  297.02	  289.76	  302.09	  270.44	  267.65	  266.66	  261.13	  246.35	  227.06	  210.35	  197.25	  193.73	  213.75	  237.82	  258.42	  263.21	  271.51	  275.75	  263.45	  268.50	  267.58	  268.69	  272.02	  274.27	  270.58	  268.06	  267.56	  268.66	  268.16	  271.08	  272.50	  270.74	  270.25	  271.00	  265.14	    4.76	   15.89	   15.53	   13.31	   12.36	   11.55	   12.81	   10.78	    8.51	    7.67	    7.17	   17.40	   -0.88	   -1.46	   -2.03	   -1.36
      19	 12:39:10	  12.000	  126.32	 1029.79	   22.67	  850.31	   1.213	-1299.51	 -921.34	-1057.67	 -571.94	 -482.13	 -399.52	 -338.42	 -306.72	 -267.12	 -225.78	 -206.10	 -185.94	 -160.91	 -133.29	 -108.05	  -88.31	  -78.95	  -64.66	  -53.07	  -38.12	  -37.14	  -40.29	  -34.34	  -33.40	  -28.42	-1297.68	  -36.06	  244.25	  235.00	  186.67	  146.88	  124.06	  117.08	  109.40	   91.09	   81.23	   70.72	   64.67	   58.12	   51.96	   45.49	   41.17	   36.02	   34.14	   30.14	   29.20	   24.88	   23.37	  -28.42	  295.48	  295.84	  297.77	  267.63	  263.80	  295.65	  300.53	  305.00	  264.21	  293.54	  293.06	  265.56	  262.98	  296.85	  289.45	  301.93	  269.78	  265.93	  261.02	  248.82	  228.68	  207.69	  196.17	  190.71	  193.30	  216.88	  240.32	  258.35	  262.24	  270.78	  275.15	  263.19	  268.03	  268.04	  268.18	  271.55	  273.73	  270.19	  267.64	  267.53	  268.13	  267.65	  270.71	  271.94	  270.15	  269.82	  270.27	  264.57	    4.81	   16.03	   15.74	   13.54	   11.98	   10.47	   11.09	   10.44	    8.69	    7.84	    7.25	   17.54	   -1.06	   -1.46	   -2.02	   -1.34
      20	 12:39:37	  12.500	  125.98	 1029.76	   22.70	  850.24	   1.213	-1311.84	 -921.87	-1124.15	 -560.72	 -474.17	 -391.10	 -328.85	 -294.41	 -252.71	 -206.53	 -185.60	 -161.26	 -132.71	 -102.35	  -80.27	  -64.74	  -66.47	  -60.67	  -57.24	  -48.37	  -49.47	  -54.59	  -51.84	  -50.04	  -43.28	-1309.17	  -44.62	  242.30	  236.68	  188.32	  149.24	  125.81	  118.69	  110.76	   92.10	   81.84	   71.06	   64.78	   57.68	   51.15	   44.21	   39.45	   33.70	   31.26	   26.64	   24.87	   19.78	   17.27	  -43.28	  295.16	  295.50	  297.57	  267.38	  263.59	  295.27	  300.10	  304.80	  263.93	  293.26	  292.89	  265.36	  262.81	  296.63	  289.31	  301.64	  268.75	  263.37	  255.78	  240.33	  218.60	  199.12	  190.78	  189.26	  194.24	  217.49	  239.36	  257.40	  261.41	  270.24	  274.98	  262.77	  268.57	  267.78	  268.87	  272.14	  274.39	  270.88	  268.25	  268.27	  268.65	  268.26	  271.28	  272.57	  270.60	  270.46	  270.94	  265.14	    4.57	   15.84	   15.60	   13.38	   11.20	    9.65	    9.89	   10.09	    8.40	    7.59	    7.04	   17.31	   -1.35	   -1.47	   -2.05	   -1.36
